arrSize,subArrSize,min,max,mean,stdev
1000,100,92.000000,1904.000000,165.000000,218.094016
2000,100,402.000000,563.000000,425.000000,23.021729
3000,100,509.000000,659.000000,537.000000,26.832816
4000,100,620.000000,762.000000,654.000000,31.080541
5000,100,744.000000,949.000000,828.000000,36.276714
6000,100,849.000000,1035.000000,893.000000,39.102430
7000,100,1044.000000,1215.000000,1091.000000,31.032241
8000,100,1074.000000,1402.000000,1174.000000,84.581322
9000,100,1272.000000,1459.000000,1336.000000,34.161382
10000,100,1300.000000,1615.000000,1438.000000,82.298238
11000,100,1443.000000,1769.000000,1537.000000,39.912404
12000,100,1652.000000,1964.000000,1695.000000,40.249224
13000,100,1836.000000,2050.000000,1877.000000,32.046841
14000,100,1794.000000,2200.000000,1993.000000,100.747208
15000,100,1999.000000,2359.000000,2058.000000,45.088801
16000,100,2198.000000,2422.000000,2251.000000,35.383612
17000,100,2180.000000,2729.000000,2389.000000,97.159662
18000,100,2334.000000,2657.000000,2429.000000,43.931765
19000,100,2415.000000,2873.000000,2550.000000,79.025312
20000,100,2614.000000,2898.000000,2684.000000,46.797436
21000,100,2798.000000,3080.000000,2876.000000,45.299007
22000,100,2863.000000,3394.000000,3047.000000,93.802985
23000,100,3068.000000,3500.000000,3135.000000,50.199602
24000,100,3257.000000,3632.000000,3341.000000,54.083269
25000,100,3437.000000,3859.000000,3522.000000,55.686623
26000,100,3361.000000,3958.000000,3613.000000,115.438295
27000,100,3612.000000,4077.000000,3671.000000,55.027266
28000,100,3770.000000,4121.000000,3875.000000,49.537864
29000,100,3926.000000,4389.000000,4021.000000,56.409219
30000,100,3986.000000,4484.000000,4194.000000,113.048662
31000,100,4158.000000,4668.000000,4258.000000,65.153665
32000,100,4381.000000,4749.000000,4461.000000,52.497619
33000,100,4474.000000,5205.000000,4592.000000,85.223236
34000,100,4645.000000,5335.000000,4766.000000,75.418831
35000,100,4857.000000,5541.000000,4995.000000,120.174873
36000,100,4999.000000,5640.000000,5121.000000,73.905345
37000,100,4829.000000,6087.000000,5276.000000,137.952891
38000,100,5000.000000,5526.000000,5161.000000,61.163715
39000,100,5257.000000,6089.000000,5442.000000,136.040435
40000,100,5469.000000,6105.000000,5590.000000,77.025970
41000,100,5719.000000,6853.000000,5856.000000,118.198985
42000,100,5888.000000,6924.000000,6061.000000,142.520174
43000,100,6101.000000,6746.000000,6241.000000,90.260733
44000,100,6014.000000,7156.000000,6278.000000,209.420629
45000,100,6237.000000,6861.000000,6376.000000,110.625494
46000,100,6397.000000,6952.000000,6556.000000,102.083299
47000,100,6600.000000,7489.000000,6731.000000,104.785495
48000,100,6800.000000,7544.000000,6939.000000,102.401172
49000,100,6957.000000,8051.000000,7140.000000,143.052438
50000,100,6902.000000,8002.000000,7256.000000,146.184815
51000,100,7119.000000,7683.000000,7288.000000,82.843225
52000,100,7381.000000,8059.000000,7557.000000,130.545011
53000,100,7921.000000,9290.000000,8145.000000,163.682620
54000,100,8200.000000,8973.000000,8467.000000,135.462172
55000,100,8447.000000,8982.000000,8605.000000,90.642154
56000,100,8671.000000,9047.000000,8836.000000,85.492690
57000,100,8802.000000,9480.000000,9020.000000,128.199064
58000,100,9021.000000,9723.000000,9203.000000,115.969824
59000,100,9119.000000,10162.000000,9382.000000,170.537386
60000,100,9278.000000,9834.000000,9533.000000,118.050837
61000,100,9287.000000,10715.000000,9817.000000,176.771038
62000,100,9201.000000,10157.000000,9564.000000,129.456556
63000,100,9464.000000,10430.000000,9712.000000,151.865072
64000,100,9674.000000,10392.000000,9874.000000,109.425774
65000,100,9751.000000,10446.000000,10077.000000,128.553491
66000,100,9991.000000,10646.000000,10249.000000,124.165213
67000,100,10120.000000,11061.000000,10515.000000,173.280120
68000,100,10506.000000,11091.000000,10728.000000,109.931797
69000,100,10679.000000,11626.000000,10900.000000,122.306991
70000,100,10896.000000,11862.000000,11093.000000,120.494813
71000,100,10996.000000,12096.000000,11216.000000,144.758419
72000,100,11104.000000,11950.000000,11350.000000,146.249786
73000,100,10866.000000,13952.000000,11405.000000,419.729675
74000,100,10968.000000,14280.000000,11492.000000,356.760424
75000,100,11212.000000,12137.000000,11611.000000,202.672149
76000,100,11511.000000,12514.000000,11774.000000,144.031247
77000,100,11653.000000,12649.000000,11971.000000,155.405920
78000,100,11784.000000,12900.000000,12146.000000,177.050840
79000,100,11837.000000,13009.000000,12334.000000,167.758755
80000,100,12094.000000,13366.000000,12438.000000,178.115131
